id,amount,category,description,date,is_recurring,recurrence
1,1200.00,Rent,Monthly apartment rent,2025-12-01,true,Monthly
2,45.50,Food,Weekly groceries,2025-12-02,false,
3,9.99,Subscriptions,Spotify Premium,2025-12-03,true,Monthly
4,35.00,Transport,Gas station fill-up,2025-12-04,false,
5,62.30,Utilities,Electric bill,2025-12-05,false,
6,15.99,Entertainment,Movie tickets,2025-12-07,false,
7,120.00,Shopping,Winter jacket,2025-12-08,false,
8,28.50,Food,Dinner at Thai place,2025-12-10,false,
9,42.00,Health,Gym membership,2025-12-10,true,Monthly
10,55.00,Education,Online course subscription,2025-12-12,true,Monthly
11,8.75,Food,Coffee and pastry,2025-12-13,false,
12,22.00,Transport,Uber ride,2025-12-14,false,
13,89.99,Shopping,Headphones,2025-12-15,false,
14,38.00,Utilities,Internet bill,2025-12-16,true,Monthly
15,12.50,Food,Lunch at deli,2025-12-18,false,
16,25.00,Entertainment,Concert tickets,2025-12-20,false,
17,150.00,Shopping,Christmas gifts,2025-12-22,false,
18,72.40,Food,Holiday dinner groceries,2025-12-23,false,
19,30.00,Transport,Airport parking,2025-12-24,false,
20,18.00,Entertainment,Streaming service bundle,2025-12-26,true,Monthly
21,1200.00,Rent,Monthly apartment rent,2026-01-01,false,
22,52.30,Food,Weekly groceries,2026-01-03,false,
23,9.99,Subscriptions,Spotify Premium,2026-01-03,false,
24,42.00,Health,Gym membership,2026-01-10,false,
25,55.00,Education,Online course subscription,2026-01-12,false,
26,38.00,Utilities,Internet bill,2026-01-16,false,
27,18.00,Entertainment,Streaming service bundle,2026-01-26,false,
28,67.00,Utilities,Gas heating bill,2026-01-07,false,
29,14.99,Subscriptions,Cloud storage plan,2026-01-08,true,Monthly
30,33.00,Transport,Monthly bus pass,2026-01-09,true,Monthly
31,48.50,Food,Restaurant with friends,2026-01-11,false,
32,200.00,Health,Dentist checkup,2026-01-14,false,
33,19.99,Shopping,Book purchase,2026-01-15,false,
34,65.00,Food,Weekly groceries,2026-01-17,false,
35,12.00,Entertainment,Mobile game purchase,2026-01-19,false,
36,85.00,Shopping,Running shoes,2026-01-22,false,
37,27.50,Food,Pizza delivery,2026-01-24,false,
38,40.00,Transport,Gas station fill-up,2026-01-26,false,
39,15.00,Food,Breakfast cafe,2026-01-28,false,
40,1200.00,Rent,Monthly apartment rent,2026-02-01,false,
41,58.00,Food,Weekly groceries,2026-02-01,false,
42,9.99,Subscriptions,Spotify Premium,2026-02-03,false,
43,42.00,Health,Gym membership,2026-02-10,false,
44,55.00,Education,Online course subscription,2026-02-12,false,
45,38.00,Utilities,Internet bill,2026-02-01,false,
46,14.99,Subscriptions,Cloud storage plan,2026-02-08,false,
47,33.00,Transport,Monthly bus pass,2026-02-09,false,
48,72.00,Utilities,Electric bill,2026-02-05,false,
49,29.90,Food,Sushi takeout,2026-02-03,false,
50,45.00,Shopping,Valentine's day gift,2026-02-13,false,
51,88.00,Entertainment,Concert tickets,2026-02-14,false,
52,22.50,Food,Coffee shop visits,2026-02-06,false,
53,16.00,Transport,Uber ride,2026-02-07,false,
54,35.00,Food,Dinner date,2026-02-14,false,
55,110.00,Shopping,New backpack,2026-02-10,false,
56,8.50,Food,Smoothie bar,2026-02-11,false,
57,18.00,Entertainment,Streaming service bundle,2026-02-15,false,
58,24.00,Food,Lunch with coworkers,2026-02-12,false,
59,50.00,Education,Workshop registration,2026-02-08,false,
60,31.00,Transport,Gas station fill-up,2026-02-15,false,
